Date,Home,Away,League
2025-09-13,AFC Bournemouth,Brighton & Hove Albion,Premier_League
2025-09-13,Arsenal,Nottingham Forest,Premier_League
2025-09-13,Brentford,Chelsea,Premier_League
2025-09-13,Crystal Palace,Sunderland,Premier_League
2025-09-13,Everton,Aston Villa,Premier_League
2025-09-13,Fulham,Leeds United,Premier_League
2025-09-13,Newcastle United,Wolverhampton Wanderers,Premier_League
2025-09-13,West Ham United,Tottenham Hotspur,Premier_League
2025-09-14,Burnley,Liverpool,Premier_League
2025-09-14,Manchester City,Manchester United,Premier_League
2025-09-20,AFC Bournemouth,Newcastle United,Premier_League
2025-09-20,Brighton & Hove Albion,Tottenham Hotspur,Premier_League
2025-09-20,Burnley,Nottingham Forest,Premier_League
2025-09-20,Fulham,Brentford,Premier_League
2025-09-20,Liverpool,Everton,Premier_League
2025-09-20,Manchester United,Chelsea,Premier_League
2025-09-20,West Ham United,Crystal Palace,Premier_League
2025-09-20,Wolverhampton Wanderers,Leeds United,Premier_League
2025-09-21,Arsenal,Manchester City,Premier_League
2025-09-21,Sunderland,Aston Villa,Premier_League
2025-09-27,Aston Villa,Fulham,Premier_League
2025-09-27,Brentford,Manchester United,Premier_League
2025-09-27,Chelsea,Brighton & Hove Albion,Premier_League
2025-09-27,Crystal Palace,Liverpool,Premier_League
2025-09-27,Leeds United,AFC Bournemouth,Premier_League
2025-09-27,Manchester City,Burnley,Premier_League
2025-09-27,Nottingham Forest,Sunderland,Premier_League
2025-09-28,Newcastle United,Arsenal,Premier_League
2025-09-28,Tottenham Hotspur,Wolverhampton Wanderers,Premier_League
2025-09-29,Everton,West Ham United,Premier_League
2025-09-12,Ipswich Town,Sheffield United,Championship
2025-09-13,Charlton Athletic,Millwall,Championship
2025-09-13,Coventry City,Norwich City,Championship
2025-09-13,Oxford United,Leicester City,Championship
2025-09-13,Preston North End,Middlesbrough,Championship
2025-09-13,Sheffield Wednesday,Bristol City,Championship
2025-09-13,Stoke City,Birmingham City,Championship
2025-09-13,Swansea City,Hull City,Championship
2025-09-13,Watford,Blackburn Rovers,Championship
2025-09-13,West Bromwich Albion,Derby County,Championship
2025-09-13,Wrexham,Queens Park Rangers,Championship
2025-09-14,Southampton,Portsmouth,Championship
2025-09-19,Middlesbrough,West Bromwich Albion,Championship
2025-09-20,Birmingham City,Swansea City,Championship
2025-09-20,Blackburn Rovers,Ipswich Town,Championship
2025-09-20,Derby County,Preston North End,Championship
2025-09-20,Hull City,Southampton,Championship
2025-09-20,Leicester City,Coventry City,Championship
2025-09-20,Norwich City,Wrexham,Championship
2025-09-20,Portsmouth,Sheffield Wednesday,Championship
2025-09-20,Queens Park Rangers,Stoke City,Championship
2025-09-20,Sheffield United,Charlton Athletic,Championship
2025-09-21,Bristol City,Oxford United,Championship
2025-09-22,Millwall,Watford,Championship
2025-09-26,West Bromwich Albion,Leicester City,Championship
2025-09-27,Charlton Athletic,Blackburn Rovers,Championship
2025-09-27,Coventry City,Birmingham City,Championship
2025-09-27,Ipswich Town,Portsmouth,Championship
2025-09-27,Oxford United,Sheffield United,Championship
2025-09-27,Preston North End,Bristol City,Championship
2025-09-27,Sheffield Wednesday,Queens Park Rangers,Championship
2025-09-27,Southampton,Middlesbrough,Championship
2025-09-27,Stoke City,Norwich City,Championship
2025-09-27,Swansea City,Millwall,Championship
2025-09-27,Watford,Hull City,Championship
2025-09-27,Wrexham,Derby County,Championship
2025-09-06,Blackpool,Luton Town,League_1
2025-09-06,Bolton Wanderers,AFC Wimbledon,League_1
2025-09-06,Cardiff City,Burton Albion,League_1
2025-09-06,Doncaster Rovers,Bradford City,League_1
2025-09-06,Huddersfield Town,Peterborough United,League_1
2025-09-06,Lincoln City,Wigan Athletic,League_1
2025-09-06,Plymouth Argyle,Stockport County,League_1
2025-09-06,Port Vale,Leyton Orient,League_1
2025-09-06,Reading,Northampton Town,League_1
2025-09-06,Rotherham United,Exeter City,League_1
2025-09-06,Stevenage,Barnsley,League_1
2025-09-06,Wycombe Wanderers,Mansfield Town,League_1
2025-09-13,AFC Wimbledon,Rotherham United,League_1
2025-09-13,Barnsley,Reading,League_1
2025-09-13,Bradford City,Huddersfield Town,League_1
2025-09-13,Burton Albion,Lincoln City,League_1
2025-09-13,Exeter City,Port Vale,League_1
2025-09-13,Leyton Orient,Bolton Wanderers,League_1
2025-09-13,Luton Town,Plymouth Argyle,League_1
2025-09-13,Mansfield Town,Stevenage,League_1
2025-09-13,Northampton Town,Blackpool,League_1
2025-09-13,Peterborough United,Wycombe Wanderers,League_1
2025-09-13,Stockport County,Cardiff City,League_1
2025-09-13,Wigan Athletic,Doncaster Rovers,League_1
2025-09-20,Blackpool,Barnsley,League_1
2025-09-20,Bolton Wanderers,Wigan Athletic,League_1
2025-09-20,Cardiff City,Bradford City,League_1
2025-09-20,Doncaster Rovers,AFC Wimbledon,League_1
2025-09-20,Huddersfield Town,Burton Albion,League_1
2025-09-20,Lincoln City,Luton Town,League_1
2025-09-20,Plymouth Argyle,Peterborough United,League_1
2025-09-20,Port Vale,Mansfield Town,League_1
2025-09-20,Reading,Leyton Orient,League_1
2025-09-20,Rotherham United,Stockport County,League_1
2025-09-20,Stevenage,Exeter City,League_1
2025-09-20,Wycombe Wanderers,Northampton Town,League_1
2025-09-27,AFC Wimbledon,Wycombe Wanderers,League_1
2025-09-27,Barnsley,Port Vale,League_1
2025-09-27,Bradford City,Blackpool,League_1
2025-09-27,Burton Albion,Plymouth Argyle,League_1
2025-09-27,Exeter City,Huddersfield Town,League_1
2025-09-27,Leyton Orient,Stevenage,League_1
2025-09-27,Luton Town,Doncaster Rovers,League_1
2025-09-27,Mansfield Town,Rotherham United,League_1
2025-09-27,Northampton Town,Bolton Wanderers,League_1
2025-09-27,Peterborough United,Lincoln City,League_1
2025-09-27,Stockport County,Reading,League_1
2025-09-27,Wigan Athletic,Cardiff City,League_1
2025-09-06,Barnet,Shrewsbury Town,League_2
2025-09-06,Barrow,Swindon Town,League_2
