Date,Home,Away,League
2026-08-21,Arsenal,Coventry City,Premier League
2026-08-22,Brentford,Tottenham Hotspur,Premier League
2026-08-22,Everton,Crystal Palace,Premier League
2026-08-22,Hull City,Manchester United,Premier League
2026-08-22,Ipswich Town,Sunderland,Premier League
2026-08-22,Nottingham Forest,Leeds United,Premier League
2026-08-23,Brighton & Hove Albion,Aston Villa,Premier League
2026-08-23,Manchester City,AFC Bournemouth,Premier League
2026-08-23,Newcastle United,Liverpool,Premier League
2026-08-24,Fulham,Chelsea,Premier League
2026-08-28,Crystal Palace,Manchester City,Premier League
2026-08-29,AFC Bournemouth,Everton,Premier League
2026-08-29,Coventry City,Hull City,Premier League
2026-08-29,Liverpool,Nottingham Forest,Premier League
2026-08-29,Tottenham Hotspur,Newcastle United,Premier League
2026-08-30,Chelsea,Brighton & Hove Albion,Premier League
2026-08-30,Leeds United,Brentford,Premier League
2026-08-30,Manchester United,Ipswich Town,Premier League
2026-08-30,Sunderland,Fulham,Premier League
2026-08-31,Aston Villa,Arsenal,Premier League
2026-08-17,Cardiff City,Wrexham,Championship
2026-08-22,Birmingham City,Bristol City,Championship
2026-08-22,Blackburn Rovers,Middlesbrough,Championship
2026-08-22,Derby County,Cardiff City,Championship
2026-08-22,Lincoln City,Portsmouth,Championship
2026-08-22,Millwall,Norwich City,Championship
2026-08-22,Preston North End,Wolverhampton Wanderers,Championship
2026-08-22,Queens Park Rangers,Bolton Wanderers,Championship
2026-08-22,Southampton,Stoke City,Championship
2026-08-22,Swansea City,Sheffield United,Championship
2026-08-22,West Ham United,Charlton Athletic,Championship
2026-08-22,Wrexham,Watford,Championship
2026-08-23,West Bromwich Albion,Burnley,Championship
2026-08-28,Wrexham,Birmingham City,Championship
2026-08-29,Blackburn Rovers,Queens Park Rangers,Championship
2026-08-29,Bolton Wanderers,Lincoln City,Championship
2026-08-29,Bristol City,Portsmouth,Championship
2026-08-29,Cardiff City,Sheffield United,Championship
2026-08-29,Charlton Athletic,Preston North End,Championship
2026-08-29,Derby County,Swansea City,Championship
2026-08-29,Middlesbrough,West Bromwich Albion,Championship
2026-08-29,Norwich City,Burnley,Championship
2026-08-29,Southampton,Millwall,Championship
2026-08-29,Watford,West Ham United,Championship
2026-08-29,Wolverhampton Wanderers,Stoke City,Championship
2026-08-22,AFC Wimbledon,Reading,League 1
2026-08-22,Bromley,Cambridge United,League 1
2026-08-22,Doncaster Rovers,Barnsley,League 1
2026-08-22,Leicester City,Burton Albion,League 1
2026-08-22,Luton Town,Notts County,League 1
2026-08-22,Milton Keynes Dons,Huddersfield Town,League 1
2026-08-22,Peterborough United,Mansfield Town,League 1
2026-08-22,Stevenage,Oxford United,League 1
2026-08-22,Stockport County,Blackpool,League 1
2026-08-22,Wigan Athletic,Leyton Orient,League 1
2026-08-22,Wycombe Wanderers,Plymouth Argyle,League 1
2026-08-29,Blackpool,Peterborough United,League 1
2026-08-29,Cambridge United,Huddersfield Town,League 1
2026-08-29,Leyton Orient,Barnsley,League 1
2026-08-29,Milton Keynes Dons,Leicester City,League 1
2026-08-29,Notts County,Burton Albion,League 1
2026-08-29,Plymouth Argyle,Bradford City,League 1
2026-08-29,Sheffield Wednesday,Bromley,League 1
2026-08-29,Stevenage,Doncaster Rovers,League 1
2026-08-29,Stockport County,Wycombe Wanderers,League 1
2026-08-30,AFC Wimbledon,Wigan Athletic,League 1
2026-08-30,Mansfield Town,Luton Town,League 1
2026-08-22,Bristol Rovers,Newport County,League 2
2026-08-22,Colchester United,Oldham Athletic,League 2
2026-08-22,Crewe Alexandra,Northampton Town,League 2
2026-08-22,Exeter City,Accrington Stanley,League 2
2026-08-22,Fleetwood Town,Gillingham,League 2
2026-08-22,Port Vale,Tranmere Rovers,League 2
2026-08-22,Rochdale,Crawley Town,League 2
2026-08-22,Rotherham United,York City,League 2
2026-08-22,Salford City,Chesterfield,League 2
2026-08-22,Shrewsbury Town,Barnet,League 2
2026-08-22,Swindon Town,Cheltenham Town,League 2
2026-08-22,Walsall,Grimsby Town,League 2
2026-08-29,Barnet,Cheltenham Town,League 2
2026-08-29,Colchester United,Rochdale,League 2
2026-08-29,Crawley Town,Bristol Rovers,League 2
2026-08-29,Gillingham,Northampton Town,League 2
2026-08-29,Grimsby Town,Fleetwood Town,League 2
2026-08-29,Newport County,Tranmere Rovers,League 2
2026-08-29,Oldham Athletic,Swindon Town,League 2
2026-08-29,Port Vale,Crewe Alexandra,League 2
2026-08-29,Rotherham United,Chesterfield,League 2
2026-08-29,Shrewsbury Town,Salford City,League 2
2026-08-29,Walsall,Accrington Stanley,League 2
2026-08-29,York City,Exeter City,League 2
2026-08-22,Boston United,Altrincham,National League
2026-08-22,Carlisle United,Hornchurch,National League
2026-08-22,Eastleigh,Scunthorpe United,National League
2026-08-22,FC Halifax Town,Tamworth,National League
2026-08-22,Forest Green Rovers,Boreham Wood,National League
2026-08-22,Harrogate Town,Barrow,National League
2026-08-22,Kidderminster Harriers,Aldershot Town,National League
2026-08-22,Solihull Moors,Southend United,National League
2026-08-22,Sutton United,Hartlepool United,National League
2026-08-22,Woking,AFC Fylde,National League
2026-08-22,Worthing,Wealdstone,National League
2026-08-22,Yeovil Town,Gateshead,National League
2026-08-28,AFC Fylde,Forest Green Rovers,National League
2026-08-28,Aldershot Town,Harrogate Town,National League
2026-08-28,Altrincham,FC Halifax Town,National League
2026-08-28,Barrow,Yeovil Town,National League
2026-08-28,Boreham Wood,Boston United,National League
2026-08-28,Gateshead,Sutton United,National League
2026-08-28,Hartlepool United,Eastleigh,National League
2026-08-28,Hornchurch,Woking,National League
