Date,Home,Away,League
2026-02-01,Aston Villa,Brentford,Premier_League
2026-02-01,Manchester United,Fulham,Premier_League
2026-02-01,Nottingham Forest,Crystal Palace,Premier_League
2026-02-01,Tottenham Hotspur,Manchester City,Premier_League
2026-02-02,Sunderland,Burnley,Premier_League
2026-02-06,Leeds United,Nottingham Forest,Premier_League
2026-02-07,AFC Bournemouth,Aston Villa,Premier_League
2026-02-07,Arsenal,Sunderland,Premier_League
2026-02-07,Burnley,West Ham United,Premier_League
2026-02-07,Fulham,Everton,Premier_League
2026-02-07,Manchester United,Tottenham Hotspur,Premier_League
2026-02-07,Newcastle United,Brentford,Premier_League
2026-02-07,Wolverhampton Wanderers,Chelsea,Premier_League
2026-02-08,Brighton & Hove Albion,Crystal Palace,Premier_League
2026-02-08,Liverpool,Manchester City,Premier_League
2026-02-21,Aston Villa,Leeds United,Premier_League
2026-02-21,Brentford,Brighton & Hove Albion,Premier_League
2026-02-21,Chelsea,Burnley,Premier_League
2026-02-21,Manchester City,Newcastle United,Premier_League
2026-02-21,Nottingham Forest,Liverpool,Premier_League
2026-02-21,West Ham United,AFC Bournemouth,Premier_League
2026-02-22,Crystal Palace,Wolverhampton Wanderers,Premier_League
2026-02-22,Sunderland,Fulham,Premier_League
2026-02-22,Tottenham Hotspur,Arsenal,Premier_League
2026-02-23,Everton,Manchester United,Premier_League
2026-02-27,Wolverhampton Wanderers,Aston Villa,Premier_League
2026-02-28,AFC Bournemouth,Sunderland,Premier_League
2026-02-28,Brighton & Hove Albion,Nottingham Forest,Premier_League
2026-02-28,Burnley,Brentford,Premier_League
2026-02-28,Leeds United,Manchester City,Premier_League
2026-02-28,Liverpool,West Ham United,Premier_League
2026-02-28,Newcastle United,Everton,Premier_League
2026-02-06,Charlton Athletic,Queens Park Rangers,Championship
2026-02-07,Birmingham City,Leicester City,Championship
2026-02-07,Coventry City,Oxford United,Championship
2026-02-07,Derby County,Ipswich Town,Championship
2026-02-07,Hull City,Bristol City,Championship
2026-02-07,Norwich City,Blackburn Rovers,Championship
2026-02-07,Preston North End,Portsmouth,Championship
2026-02-07,Southampton,Watford,Championship
2026-02-07,West Bromwich Albion,Stoke City,Championship
2026-02-07,Wrexham,Millwall,Championship
