Date,Home,Away,League
2026-03-01,Arsenal,Chelsea,Premier_League
2026-03-01,Brighton & Hove Albion,Nottingham Forest,Premier_League
2026-03-01,Fulham,Tottenham Hotspur,Premier_League
2026-03-01,Manchester United,Crystal Palace,Premier_League
2026-03-14,Burnley,AFC Bournemouth,Premier_League
2026-03-14,Chelsea,Newcastle United,Premier_League
2026-03-14,Crystal Palace,Leeds United,Premier_League
2026-03-14,Sunderland,Brighton & Hove Albion,Premier_League
2026-03-14,West Ham United,Manchester City,Premier_League
2026-03-15,Arsenal,Everton,Premier_League
2026-03-15,Liverpool,Tottenham Hotspur,Premier_League
2026-03-15,Manchester United,Aston Villa,Premier_League
2026-03-15,Nottingham Forest,Fulham,Premier_League
2026-03-16,Brentford,Wolverhampton Wanderers,Premier_League
2026-03-20,AFC Bournemouth,Manchester United,Premier_League
2026-03-21,Brighton & Hove Albion,Liverpool,Premier_League
2026-03-21,Everton,Chelsea,Premier_League
2026-03-21,Fulham,Burnley,Premier_League
2026-03-21,Leeds United,Brentford,Premier_League
2026-03-22,Aston Villa,West Ham United,Premier_League
2026-03-22,Newcastle United,Sunderland,Premier_League
2026-03-22,Tottenham Hotspur,Nottingham Forest,Premier_League
2026-03-02,Birmingham City,Middlesbrough,Championship
2026-03-06,Preston North End,Oxford United,Championship
2026-03-07,Blackburn Rovers,Portsmouth,Championship
2026-03-07,Bristol City,Coventry City,Championship
2026-03-07,Charlton Athletic,Birmingham City,Championship
2026-03-07,Derby County,Sheffield Wednesday,Championship
2026-03-07,Hull City,Millwall,Championship
2026-03-07,Ipswich Town,Leicester City,Championship
2026-03-07,Sheffield United,West Bromwich Albion,Championship
2026-03-07,Southampton,Norwich City - Postponed,Championship
2026-03-07,Swansea City,Stoke City,Championship
2026-03-07,Watford,Wrexham - Postponed,Championship
2026-03-08,Queens Park Rangers,Middlesbrough,Championship
2026-03-13,Wrexham,Swansea City,Championship
2026-03-14,Birmingham City,Sheffield United,Championship
2026-03-14,Coventry City,Southampton,Championship
2026-03-14,Leicester City,Queens Park Rangers,Championship
2026-03-14,Middlesbrough,Bristol City,Championship
2026-03-14,Millwall,Blackburn Rovers,Championship
2026-03-14,Norwich City,Preston North End,Championship
2026-03-14,Oxford United,Charlton Athletic,Championship
2026-03-14,Sheffield Wednesday,Ipswich Town,Championship
2026-03-14,Stoke City,Watford,Championship
2026-03-14,West Bromwich Albion,Hull City,Championship
2026-03-16,Portsmouth,Derby County,Championship
2026-03-20,Preston North End,Stoke City,Championship
2026-03-21,Blackburn Rovers,Middlesbrough,Championship
2026-03-21,Bristol City,West Bromwich Albion,Championship
2026-03-21,Charlton Athletic,Norwich City,Championship
2026-03-21,Derby County,Birmingham City,Championship
2026-03-21,Hull City,Sheffield Wednesday,Championship
2026-03-21,Ipswich Town,Millwall,Championship
2026-03-21,Queens Park Rangers,Portsmouth,Championship
2026-03-21,Sheffield United,Wrexham,Championship
2026-03-21,Southampton,Oxford United,Championship
2026-03-21,Swansea City,Coventry City,Championship
2026-03-21,Watford,Leicester City,Championship
2026-03-07,Barnsley,Exeter City,League_1
2026-03-07,Blackpool,Wigan Athletic,League_1
2026-03-07,Bolton Wanderers,Wycombe Wanderers,League_1
2026-03-07,Bradford City,Leyton Orient,League_1
2026-03-07,Burton Albion,Stevenage,League_1
2026-03-07,Cardiff City,Lincoln City,League_1
2026-03-07,Huddersfield Town,Rotherham United,League_1
2026-03-07,Luton Town,Reading,League_1
2026-03-07,Peterborough United,Port Vale,League_1
2026-03-07,Plymouth Argyle,Doncaster Rovers,League_1
2026-03-07,Stockport County,Mansfield Town - Postponed,League_1
2026-03-08,AFC Wimbledon,Northampton Town,League_1
2026-03-14,Doncaster Rovers,Blackpool,League_1
2026-03-14,Exeter City,Cardiff City,League_1
2026-03-14,Leyton Orient,Peterborough United,League_1
2026-03-14,Lincoln City,Stockport County,League_1
2026-03-14,Mansfield Town,Barnsley,League_1
2026-03-14,Northampton Town,Burton Albion,League_1
2026-03-14,Port Vale,Huddersfield Town,League_1
2026-03-14,Reading,Plymouth Argyle,League_1
2026-03-14,Rotherham United,Bolton Wanderers,League_1
2026-03-14,Stevenage,AFC Wimbledon,League_1
2026-03-14,Wigan Athletic,Bradford City,League_1
2026-03-14,Wycombe Wanderers,Luton Town,League_1
2026-03-21,AFC Wimbledon,Peterborough United,League_1
2026-03-21,Barnsley,Doncaster Rovers,League_1
2026-03-21,Burton Albion,Bradford City,League_1
2026-03-21,Cardiff City,Blackpool,League_1
2026-03-21,Leyton Orient,Wycombe Wanderers,League_1
2026-03-21,Lincoln City,Rotherham United,League_1
2026-03-21,Luton Town,Stockport County,League_1
2026-03-21,Mansfield Town,Northampton Town,League_1
2026-03-21,Plymouth Argyle,Huddersfield Town,League_1
2026-03-21,Port Vale,Bolton Wanderers,League_1
2026-03-21,Stevenage,Reading,League_1
2026-03-21,Wigan Athletic,Exeter City,League_1
2026-03-28,Blackpool,Burton Albion,League_1
2026-03-28,Bolton Wanderers,Stevenage,League_1
2026-03-28,Bradford City,Plymouth Argyle,League_1
2026-03-28,Doncaster Rovers,Lincoln City,League_1
2026-03-28,Exeter City,Leyton Orient,League_1
2026-03-28,Huddersfield Town,Cardiff City,League_1
