Date,Home,Away,League
2026-05-01,Leeds United,Burnley,Premier_League
2026-05-02,Arsenal,Fulham,Premier_League
2026-05-02,Brentford,West Ham United,Premier_League
2026-05-02,Newcastle United,Brighton & Hove Albion,Premier_League
2026-05-02,Wolverhampton Wanderers,Sunderland,Premier_League
2026-05-03,AFC Bournemouth,Crystal Palace,Premier_League
2026-05-03,Aston Villa,Tottenham Hotspur,Premier_League
2026-05-03,Manchester United,Liverpool,Premier_League
2026-05-04,Chelsea,Nottingham Forest,Premier_League
2026-05-04,Everton,Manchester City,Premier_League
2026-05-09,Brighton & Hove Albion,Wolverhampton Wanderers,Premier_League
2026-05-09,Fulham,AFC Bournemouth,Premier_League
2026-05-09,Liverpool,Chelsea,Premier_League
2026-05-09,Manchester City,Brentford,Premier_League
2026-05-09,Sunderland,Manchester United,Premier_League
2026-05-10,Burnley,Aston Villa,Premier_League
2026-05-10,Crystal Palace,Everton,Premier_League
2026-05-10,Nottingham Forest,Newcastle United,Premier_League
2026-05-10,West Ham United,Arsenal,Premier_League
2026-05-11,Tottenham Hotspur,Leeds United,Premier_League
2026-05-17,AFC Bournemouth,Manchester City - Postponed,Premier_League
2026-05-17,Arsenal,Burnley,Premier_League
2026-05-17,Aston Villa,Liverpool,Premier_League
2026-05-17,Brentford,Crystal Palace,Premier_League
2026-05-17,Chelsea,Tottenham Hotspur - Postponed,Premier_League
2026-05-17,Everton,Sunderland,Premier_League
2026-05-17,Leeds United,Brighton & Hove Albion,Premier_League
2026-05-17,Manchester United,Nottingham Forest,Premier_League
2026-05-17,Newcastle United,West Ham United,Premier_League
2026-05-17,Wolverhampton Wanderers,Fulham,Premier_League
2026-05-22,Manchester City,Crystal Palace - Postponed,Premier_League
2026-05-24,Brighton & Hove Albion,Manchester United,Premier_League
2026-05-24,Burnley,Wolverhampton Wanderers,Premier_League
2026-05-24,Crystal Palace,Arsenal,Premier_League
2026-05-24,Fulham,Newcastle United,Premier_League
2026-05-24,Liverpool,Brentford,Premier_League
2026-05-24,Manchester City,Aston Villa,Premier_League
2026-05-24,Nottingham Forest,AFC Bournemouth,Premier_League
2026-05-24,Sunderland,Chelsea,Premier_League
2026-05-24,Tottenham Hotspur,Everton,Premier_League
2026-05-24,West Ham United,Leeds United,Premier_League
2026-05-02,Blackburn Rovers,Leicester City,Championship
2026-05-02,Bristol City,Stoke City,Championship
2026-05-02,Derby County,Sheffield United,Championship
2026-05-02,Hull City,Norwich City,Championship
2026-05-02,Ipswich Town,Queens Park Rangers,Championship
2026-05-02,Millwall,Oxford United,Championship
2026-05-02,Portsmouth,Birmingham City,Championship
2026-05-02,Preston North End,Southampton,Championship
2026-05-02,Sheffield Wednesday,West Bromwich Albion,Championship
2026-05-02,Swansea City,Charlton Athletic,Championship
2026-05-02,Watford,Coventry City,Championship
2026-05-02,Wrexham,Middlesbrough,Championship
2026-05-02,AFC Wimbledon,Huddersfield Town,League_1
2026-05-02,Barnsley,Stockport County,League_1
2026-05-02,Bolton Wanderers,Luton Town,League_1
2026-05-02,Exeter City,Bradford City,League_1
2026-05-02,Leyton Orient,Burton Albion,League_1
2026-05-02,Mansfield Town,Cardiff City,League_1
2026-05-02,Northampton Town,Plymouth Argyle,League_1
2026-05-02,Peterborough United,Doncaster Rovers,League_1
2026-05-02,Port Vale,Lincoln City,League_1
2026-05-02,Reading,Blackpool,League_1
2026-05-02,Stevenage,Wigan Athletic,League_1
2026-05-02,Wycombe Wanderers,Rotherham United,League_1
2026-05-02,Barrow,Newport County,League_2
2026-05-02,Bromley,Walsall,League_2
2026-05-02,Cheltenham Town,Colchester United,League_2
2026-05-02,Crawley Town,Salford City,League_2
2026-05-02,Crewe Alexandra,Cambridge United,League_2
2026-05-02,Fleetwood Town,Milton Keynes Dons,League_2
2026-05-02,Gillingham,Shrewsbury Town,League_2
2026-05-02,Harrogate Town,Barnet,League_2
2026-05-02,Notts County,Bristol Rovers,League_2
2026-05-02,Oldham Athletic,Accrington Stanley,League_2
2026-05-02,Swindon Town,Chesterfield,League_2
2026-05-02,Tranmere Rovers,Grimsby Town,League_2
2026-05-01,Livingston,Aberdeen,Scottish_Premier_League
2026-05-02,Dundee,St Mirren,Scottish_Premier_League
2026-05-02,Falkirk,Motherwell,Scottish_Premier_League
2026-05-02,Kilmarnock,Dundee United,Scottish_Premier_League
2026-05-03,Hibernian,Celtic,Scottish_Premier_League
2026-05-04,Heart of Midlothian,Rangers,Scottish_Premier_League
2026-05-09,Aberdeen,Dundee United,Scottish_Premier_League
2026-05-09,Dundee,Livingston,Scottish_Premier_League
2026-05-09,Falkirk,Hibernian,Scottish_Premier_League
2026-05-09,Motherwell,Heart of Midlothian,Scottish_Premier_League
2026-05-09,St Mirren,Kilmarnock,Scottish_Premier_League
2026-05-10,Celtic,Rangers,Scottish_Premier_League
2026-05-16,Celtic,Heart of Midlothian,Scottish_Premier_League
2026-05-16,Falkirk,Rangers,Scottish_Premier_League
2026-05-16,Hibernian,Motherwell,Scottish_Premier_League
2026-05-17,Dundee,Aberdeen,Scottish_Premier_League
2026-05-17,Livingston,Kilmarnock,Scottish_Premier_League
2026-05-17,St Mirren,Dundee United,Scottish_Premier_League
2026-05-01,Ayr United,St Johnstone,Scottish_Championship
2026-05-01,Dunfermline Athletic,Arbroath,Scottish_Championship
2026-05-01,Greenock Morton,Airdrieonians,Scottish_Championship
2026-05-01,Partick Thistle,Queens Park,Scottish_Championship
2026-05-01,Raith Rovers,Ross County,Scottish_Championship
2026-05-02,Alloa Athletic,Queen of the South,Scottish_League_1
2026-05-02,Cove Rangers,East Fife,Scottish_League_1
2026-05-02,Inverness Caledonian Thistle,Hamilton Academical,Scottish_League_1
2026-05-02,Montrose,Stenhousemuir,Scottish_League_1
2026-05-02,Peterhead,Kelty Hearts,Scottish_League_1
2026-05-02,Annan Athletic,Forfar Athletic,Scottish_League_2
2026-05-02,East Kilbride,Clyde,Scottish_League_2
2026-05-02,Edinburgh City,Dumbarton,Scottish_League_2
2026-05-02,Elgin City,Stranraer,Scottish_League_2
2026-05-02,Stirling Albion,Spartans,Scottish_League_2
